id,name,category,expected_direction,main_horizon,test_status,n_events,ret_T1_mean,ret_T5_mean,ret_T20_mean,n_labeled,mean,std,win_rate,t_stat,p_value,effect_size,fdr_passed,q_value
B4,RSI>70 & MFI>80,double,negative,5,hypothesis_test,2239,-0.01147613327620323,-0.009902171018032422,-0.009860920073747247,2239,-0.009902171018032422,0.14512469888767213,0.38365341670388564,-3.2286140904159435,0.0006309555103100887,-0.06823215547683441,True,0.002064945306469381
B5,RSI>70 & 볼린저 상단,double,negative,5,hypothesis_test,3560,-0.009362746731669373,-0.01057824896167743,-0.01308603865631386,3557,-0.01057824896167743,0.14061098984011897,0.3803767219567051,-4.486797313120108,3.7295007484764893e-06,-0.07523059878680448,True,2.685240538903072e-05
B6,MFI>80 & 볼린저 상단,double,negative,5,hypothesis_test,3881,-0.00940860493657333,-0.008862553669776958,-0.006595855704695033,3881,-0.008862553669776958,0.13225953513632868,0.3767070342695182,-4.174492716471076,1.5260199499712028e-05,-0.06700880704473773,True,9.156119699827217e-05
B7,MACD 골든 & SMA20 상향 돌파,double,positive,5,hypothesis_test,6652,-0.003593550857741104,-0.003661894646457977,0.0035127377811858514,6649,-0.003661894646457977,0.10212353059288368,0.40833208001203186,-2.9238708877683033,0.9982656242740592,-0.03585750145141526,False,0.9999957813331957
B8,MACD 데드 & SMA20 하향 돌파,double,negative,5,hypothesis_test,5434,-6.717659897835043e-05,0.004796182149975649,-0.00021011162153587818,5433,0.004796182149975649,0.0792995245643218,0.47874102705687466,4.458050023945902,0.9999957813331957,0.06048185252466864,False,0.9999957813331957
B18,호재공시 & 거래량 급증,double,positive,5,hypothesis_test,588,-0.008007036811713315,-0.004409535987619427,-0.01249088375314996,588,-0.004409535987619427,0.08815611845183494,0.391156462585034,-1.212911446588515,0.8871742196352829,-0.050019625013646964,False,0.9999957813331957
B19,악재공시 & 거래량 급증,double,negative,5,hypothesis_test,340,0.003334223721050017,-0.006127375485842584,-0.0138684621459724,338,-0.006127375485842584,0.12221015570261445,0.41420118343195267,-0.9217763207333288,0.1786523408948655,-0.050138022086747905,False,0.3215742136107579
B21,호재공시 & 뉴스감성 양,double,positive,5,hypothesis_test,141,0.005120352577417916,0.007812149062255436,0.013109165721203164,139,0.007812149062255436,0.09647892784254675,0.5251798561151079,0.9546528049913582,0.17071128648737827,0.08097259408816021,False,0.3215742136107579
B22,악재공시 & 뉴스감성 음,double,negative,5,hypothesis_test,55,-0.01568110488834098,-0.021017469781070792,-0.03681669355276729,52,-0.021017469781070792,0.0924054820719307,0.3076923076923077,-1.6401530142373364,0.05356384844714047,-0.2274482997092129,False,0.1285532362731371
B33,뉴스감성 양 & 거래량 급증,double,positive,5,hypothesis_test,1272,-0.00553879217125156,-0.004529417411308771,0.005935941457769768,1272,-0.004529417411308771,0.11057118681518553,0.4056603773584906,-1.4609788529446257,0.9278657985322549,-0.04096381292243409,False,0.9999957813331957
